1 A small amount of free air and free fluid in the pelvis and abdomen  mostly along the right pericolic gutter and surrounding the ascending colon  concerning for perforation,"['NPP', 'PIP']"
1 Bibasilar pneumonia  Patient was treated for communityacquired pneumonia,"['NPP', 'PIP']"
1 Bucket handle medial meniscal tear with flipped fragment in the intercondylar notch,"['PIP', 'NPP']"
1 CORONARY ARTERY DISEASE  The patient was taken to Cardiac Catheterization where she was found to have two vessel disease,['NPP']
1 Coronary artery disease status post nonSTelevation myocardial infarction in 20090505  status post cardiac catheterization with left anterior descending artery stent placement in 052001,"['PIP', 'NPP']"
1 Endstage renal disease secondary to type 1 diabetes mellitus  status post renal transplant in 2003,"['PIP', 'NPP']"
1 Exploratory laparotomy with drainage of intraabdominal abscess and peritonitis with gross soilage with bile and gastric contents,"['NPP', 'PIP']"
1 Familial cavernous hemangiomas  status post a subacute pontine hemorrhage,"['PIP', 'NPP']"
1 Hypotension  The patient was initially mildly hypotensive with systolic blood pressures in the 80s,['NPP']
1 Increasing large rightsided pleural effusion and pulmonary edema,['NPP']
1 Insulin dependent diabetes mellitus x 15 years with no retinopathy or foot lesions,['NPP']
1 Left transverse mid shaft radial fracture with ulnar displacement status post left radial open reduction and internal fixation,"['NPP', 'PIP']"
1 Markedly dilated colon throughout ascending  transverse  and descending colon with airfluid levels  overall unchanged since prior study performed on the same day with pneumatosis in the ascending colon,['NPP']
1 Nonsmall cell lung cancer sp XRT and chemotherapy in French Guiana  sp right pneumonectomy in 20160921 for recurrence,['NPP']
1 Nonsmall cell lung cancer sp XRT and chemotherapy in Western Sahara  sp right pneumonectomy in 20160921 for recurrence,['NPP']
1 Pulmonary Edema and Hypoxic Respiratory Failure,"['NPP', 'PIP']"
1 Rapid atrial fibrillation with demand ischemia,"['PIP', 'NPP']"
10 Recent MRSA pneumonia and sepsis 20170721  treated with Vancomycin,['NPP']
11 C difficile colitis treated with Flagyl  completed 0810,['NPP']
11 SP L shoulder hemiarthroplasty following a left humeral fracuture in 20181110 Dumas was complicated by a PEA arrest secondary to PE,"['NPP', 'PIP']"
12 Lasix 40 mg Tablet Sig  One  1  Tablet PO once a day as needed for shortness of breath or wheezing,['NPP']
12 PE 20181117 leading to PEA arrest,"['NPP', 'PIP']"
13 Status post tracheostomy 20170721 0222 failure to wean,['NPP']
2 Bilateral pleural effusions  right greater than left  with leftsided compressive atelectasis,"['NPP', 'PIP']"
2 CV  Patient has CAD and CHF with a low hct and major trauma,['NPP']
2 Cxray  0614  New bibasilar consolidations are demonstrated accompanied by bilateral small pleural effusion,['NPP']
2 Diabetes mellitus Type 2,['NPP']
2 Diabetic nephropathy resulting in ESRD for which she is on HD,"['PIP', 'NPP']"
2 Exposure and wide drainage of perforated posterior duodenal ulcer with internal and external drainage,['NPP']
2 Left lower quadrant thickwalled peripherally enhancing fluid collection  which appears to communicate with the sutured end of the proximal sigmoid colon via a small collection of extraluminal gas,"['NPP', 'PIP']"
2 Linear right temporal calvarial fracture extending into the mastoid with a small right posterior convexity subdural hematoma and pneumocephalus  see head CT report,"['NPP', 'PIP']"
2 Metastatic RCC  Sutent was held on admission in light of acute infection,['NPP']
2 Moderate knee joint effusion with possible ganglion cyst at the insertion of the PCL,"['NPP', 'PIP']"
2 Multifocal hemorrhagic contusions and surrounding edema are largely unchanged,"['PIP', 'NPP']"
2 OBSTRUCTIVE UROPATHY  STATUS POST LEFT NEPHROSTOMY,['NPP']
2 Patchy left retrocardiac opacity which may be due to patchy atelectasis  aspiration  or early pneumonia,"['NPP', 'PIP']"
2 Thrush  This is likely secondary to her steroid inhalers and PO prednisone for COPD exacerbation,['NPP']
2 hypertension  she has had hypertension for 15 years,['NPP']
2+ edema both upper extremities  sacral edema,['NPP']
20130518 0600 PM PT  133 PTT  264 INRPT  12 EKG  NSR 64  1st deg block  LAD  new TWI inflat leads  new ST depressions V46,['NPP']
3 Anemia  patient transfusion dependant with a baseline of 28,"['NPP', 'PIP']"
3 Apnea and bradycardia of prematurity,"['NPP', 'PIP']"
3 COPDbronchiectasis,['NPP']
3 Cholelithiasis without evidence of acute cholecystitis,"['PIP', 'NPP']"
3 Congestive heart failure  During the initial course of the patient s admission  it was unclear as to whether or not he was volume overloaded or volume depleted,['NPP']
3 Coronary artery disease with a history of angina in the distant past,"['PIP', 'NPP']"
3 ECG changes  Patient had an episode of chest pain during her hospital stay that was both right and left sided with no radiation and no associated symptoms,"['PIP', 'NPP']"
3 Gastroesophageal reflux disease with esophageal dilatation for stricture,['NPP']
3 Interval development of treeinEric nodular opacities and scattered ground glass opacities involving the right lung  concerning for an infectious process,"['PIP', 'NPP']"
3 Metabolic Alkalosis  Hypochloremia,['NPP']
3 Please call your PCP C Lettinga or seek medical attention in the Juan if you experience worsening shortness of breath  chest pain  dizziness  passing out  or any other concerning symptom,['NPP']
3 Question of history of AVN or osseous necrosis,['NPP']
3 Severe autonomic dysfunction with multiple hospitalizations for hypertensive emergency  gastroparesis  and orthostatic hypotension,['NPP']
3 The patient will call for any fevers or difficulties with the wound care  and will be instructed with an interpreter present,['NPP']
3 Urinary frequency secondary to interstitial cystitis,"['PIP', 'NPP']"
3 diarrhea  The patient has been having loose stools at night and was guiac pos x 2,"['PIP', 'NPP']"
32 y  o woman with h  o anxiety and depression and prior suicide attempt presents with TCA and celexa overdose  tremulous  lightheaded  felt better post charcoal,['NPP']
4 Abnormal liver function tests  The patient had an isolated  elevated alkaline phosphatase with a confirmatory elevation in his gamma glutamyl transferase,['NPP']
4 Anemia  transfusion dependent every three months,"['NPP', 'PIP']"
4 HISTORY OF TRANSIENT ISCHEMIC ATTACK  CEREBROVASCULAR ACCIDENT,['NPP']
4 History of esophageal erosion  MW tear,['NPP']
4 Hypertension,['NPP']
4 New jejunal wall thickening with persistent distal ileal wall thickening and diffuse mesenteric stranding  most likely reflecting an infectious etiology,"['NPP', 'PIP']"
4 Pleural effusions  sp right thoracentesis on 20170906  1600 mL of serosanguinous fluid removed from right pleural space,['NPP']
4 Recent pancreatitis  prior history for recurrent pancreatitis 30 years ago from alcohol,['NPP']
4 Shoulder fracture  Patient is sp a left hip fracture  decision not to operate  and a left shoulder fracture with hemiarthroplasty 1114,['NPP']
4 Successful PTCA and stenting of the proximal LAD with overlapping 225 x 13 mm and 225 x 18 mm Hepacoat stents with no residual stenosis or dissection and normal flow  see PTCA comments,['NPP']
4 days of worsening SOB with sore throat and cough productive of yellow  green sputum,['NPP']
